;1;2;3;4;5;b
1;-319076.5763;-278334.5333;-159379.9459;-96376.15453;-28537.079;590508719
2;-194907.6223;-168565.0728;-115605.2485;-68071.11852;-19134.81816;523499728.2
3;-248094.94;-186314.6717;-125924.1274;-74422.99959;-21831.32833;547384686.6
4;-225792.8502;-174078.3526;-117688.514;-69292.06541;-20326.20627;534023452.1
5;-233610.701;-180104.6824;-121363.6062;-71658.1347;-20613.06592;540458866.3
6;-229078.4857;-176832.3081;-119447.4189;-70448.04864;-20613.06592;537047416.9
7;-229529.3672;-177106.6225;-119562.6236;-70472.64962;-20613.06592;537304802.8
8;-230949.1558;-178130.6928;-120200.5072;-70899.4865;-20613.06592;538406207
9;-232818.4686;-179526.1169;-121037.0228;-71457.23634;-20613.06592;539874554.3
10;-230462.0998;-177736.0131;-119981.6823;-70753.06085;-20613.06592;538009858
11;-232779.2929;-179498.0227;-121022.7524;-71449.68814;-20613.06592;539847403.1
12;-230856.4852;-178042.0428;-120158.8721;-70871.62657;-20613.06592;538326042.5
13;-232688.613;-179426.4047;-120982.0117;-71422.42666;-20613.06592;539774244.9
14;-232368.2559;-179182.8531;-120838.0814;-71326.1164;-20613.06592;539520292.5
15;-231900.626;-178827.4575;-120627.9843;-71185.5309;-20613.06592;539149606.4
16;-231483.6526;-178511.2501;-120440.6462;-71060.17447;-20613.06592;538819416.4
17;-231657.9151;-178644.664;-120518.939;-71112.56373;-20613.06592;538958059.2
18;-231903.2209;-178829.4293;-120629.1502;-71186.31103;-20613.06592;539151663.4
